id,name,sugar
414,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Soymilk,32
415,Iced Brewed Coffee (With Classic Syrup) made with Tall,15
416,Iced Brewed Coffee (With Classic Syrup) made with Grande,21
417,Iced Brewed Coffee (With Classic Syrup) made with Venti,31
418,Iced Brewed Coffee (With Milk & Classic Syrup) made with Tall Nonfat Milk,18
419,Iced Brewed Coffee (With Milk & Classic Syrup) made with 2% Milk,18
420,Iced Brewed Coffee (With Milk & Classic Syrup) made with Soymilk,17
421,Iced Brewed Coffee (With Milk & Classic Syrup) made with Grande Nonfat Milk,24
422,Iced Brewed Coffee (With Milk & Classic Syrup) made with 2% Milk,24
423,Iced Brewed Coffee (With Milk & Classic Syrup) made with Soymilk,22
424,Iced Brewed Coffee (With Milk & Classic Syrup) made with Venti Nonfat Milk,36
425,Iced Brewed Coffee (With Milk & Classic Syrup) made with 2% Milk,36
426,Iced Brewed Coffee (With Milk & Classic Syrup) made with Soymilk,33
427,Shaken Iced Tazo® Tea (With Classic Syrup) made with Tall,15
428,Shaken Iced Tazo® Tea (With Classic Syrup) made with Grande,21
429,Shaken Iced Tazo® Tea (With Classic Syrup) made with Venti,31
430,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) made with Tall,24
431,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) made with Grande,33
432,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) made with Venti,49
433,Banana Chocolate Smoothie made with Grande Nonfat Milk,34
434,Banana Chocolate Smoothie made with 2% Milk,34
435,Banana Chocolate Smoothie made with Soymilk,31
436,Orange Mango Banana Smoothie made with Grande Nonfat Milk,37
437,Orange Mango Banana Smoothie made with 2% Milk,37
438,Orange Mango Banana Smoothie made with Soymilk,36
439,Strawberry Banana Smoothie made with Grande Nonfat Milk,41
440,Strawberry Banana Smoothie made with 2% Milk,41
441,Strawberry Banana Smoothie made with Soymilk,40
442,Coffee made with Tall Nonfat Milk,36
443,Coffee made with Whole Milk,36
444,Coffee made with Soymilk,34
445,Coffee made with Grande Nonfat Milk,50
446,Coffee made with Whole Milk,50
447,Coffee made with Soymilk,47
448,Coffee made with Venti Nonfat Milk,69
449,Coffee made with Whole Milk,69
450,Coffee made with Soymilk,66
451,Mocha (Without Whipped Cream) made with Tall Nonfat Milk,40
452,Mocha (Without Whipped Cream) made with Whole Milk,40
453,Mocha (Without Whipped Cream) made with Soymilk,38
454,Mocha (Without Whipped Cream) made with Grande Nonfat Milk,58
455,Mocha (Without Whipped Cream) made with Whole Milk,58
456,Mocha (Without Whipped Cream) made with Soymilk,55
457,Mocha (Without Whipped Cream) made with Venti Nonfat Milk,76
458,Mocha (Without Whipped Cream) made with Whole Milk,76
459,Mocha (Without Whipped Cream) made with Soymilk,73
460,Caramel (Without Whipped Cream) made with Tall Nonfat Milk,41
461,Caramel (Without Whipped Cream) made with Whole Milk,41
462,Caramel (Without Whipped Cream) made with Soymilk,39
463,Caramel (Without Whipped Cream) made with Grande Nonfat Milk,59
464,Caramel (Without Whipped Cream) made with Whole Milk,59
465,Caramel (Without Whipped Cream) made with Soymilk,56
466,Caramel (Without Whipped Cream) made with Venti Nonfat Milk,77
467,Caramel (Without Whipped Cream) made with Whole Milk,77
468,Caramel (Without Whipped Cream) made with Soymilk,73
469,Java Chip (Without Whipped Cream) made with Tall Nonfat Milk,44
